  company all Details
"
"['U72900MH2008PTC186380', 'SHOP CJ NETWORK PRIVATE LIMITED', 'Mumbai', 'Active']"
"['U72200MH2014PTC251959', 'AMKRI TECH SERVICES PRIVATE LIMITED', 'Mumbai', 'Active']"
"['U72900MH2000PTC128200', 'PRONTO ENTERTAINMENT PRIVATE LIMITED', 'Mumbai', 'Active']"
"['U72900MH2000PTC127249', 'LEGALPUNDITS INTERNATIONAL SERVICES PRIVATE LIMITED', 'Mumbai', 'Active']"
"['U72900MH2019PTC333391', 'TRINGO SOLUTIONS INDIA PRIVATE LIMITED', 'Mumbai', 'Active']"
"['U72900MH2020PTC343833', 'CDIC PRIVATE LIMITED', 'Mumbai', 'Active']"
[]
"['U72900MH2018PTC308642', 'EZDATA MUNCH PRIVATE LIMITED', 'Mumbai', 'Active']"
"['U72900MH2022PTC386983', 'ORACIUS DIGITAL PRIVATE LIMITED', 'Mumbai', 'Active']"
"['U72400MH2000PTC128160', 'ITX COM (INDIA) PRIVATE LIMITED', 'Mumbai', 'Active']"
"['U72900MH2019PTC328496', 'MONDAY DOMAINS PRIVATE LIMITED', 'Mumbai', 'Active']"
"['U72900MH2019PTC325009', 'SUMBL TECHNOLOGIES PRIVATE LIMITED', 'Mumbai', 'Active']"
"['U72900MH2019PTC325865', 'STRATXG CONSULTING PRIVATE LIMITED', 'Mumbai', 'Active']"
"['U72900MH2020PTC346755', 'PARKOUR AI ENGINEERING PRIVATE LIMITED', 'Mumbai', 'Active']"
"['U72200MH2016PTC281251', 'PRANCE INFOTECH PRIVATE LIMITED', 'Mumbai', 'Active']"
"['U72501MH2018PTC304015', 'EXOLVO TECHNOLOGIES PRIVATE LIMITED', 'Mumbai', 'Active']"
"['U72200MH2020PTC341937', 'ACCURA TECHNOLABS PRIVATE LIMITED', 'Mumbai', 'Active']"
"['U72900MH2018PTC318763', 'FINDULO TECHNOLOGIES PRIVATE LIMITED', 'Mumbai', 'Active']"
"['U72300MH2011PTC224021', 'MAFATLAL CIPHERSPACE PRIVATE LIMITED', 'Mumbai', 'Active']"
"['U72200MH2021PTC357854', 'CLOUDBOTIX TECHNOLOGIES PRIVATE LIMITED', 'Mumbai', 'Active']"
"['U72200MH2013PTC242018', 'FREESTONE INFOTECH PRIVATE LIMITED', 'Mumbai', 'Active']"
"['U72900MH2019PTC334962', 'FRONTERIA SYSTEMS PRIVATE LIMITED', 'Mumbai', 'Active']"
"['U72900MH2021PTC358141', 'AMUWA INFOTECH PRIVATE LIMITED', 'Mumbai', 'Active']"
