company all Details
"['U72900TN2021PTC144593', 'VCLOUD SOLUTIONS PRIVATE LIMITED', 'Chennai', 'Active']"
"['U72900TN2021PTC146056', 'AMPSNBYTES TECHNOLOGIES PRIVATE LIMITED', 'Chennai', 'Active']"
"['U72900TN2022PTC153396', 'ALGORITHM HEALTH PRIVATE LIMITED', 'Chennai', 'Active']"
"['U72200TN2005PTC058431', 'IT THOUGHTS CONSULTING PRIVATE LIMITED', 'Chennai', 'Active']"
"['U72200TN2016PTC111831', 'INSPIREPRO CONSULTING SERVICES PRIVATE LIMITED', 'Chennai', 'Active']"
"['U72900TN2021PTC140893', 'BEEYES SOFTWARE PRIVATE LIMITED', 'Chennai', 'Active']"
[]
"['U72900TN2016PTC110927', 'TELTH SYSTEMS PRIVATE LIMITED', 'Chennai', 'Active']"
"['U72300TN2014PTC098643', 'MHMN DATA SERVICES PRIVATE LIMITED', 'Chennai', 'Active']"
"['U72200TN2021PTC143773', 'SAVIR GLOBAL IT SOLUTIONS PRIVATE LIMITED', 'Chennai', 'Active']"
"['U72900TN2020PTC139614', 'SKOFEL TECHNOLOGIES AND SERVICES PRIVATE LIMITED', 'Chennai', 'Active']"
"['U72200TN2010PTC074783', 'NATZ TECHNOLOGY PRIVATE LIMITED', 'Chennai', 'Active']"
"['U72900TN2022PTC150640', 'ADHIA OUTSOURCING PRIVATE LIMITED', 'Chennai', 'Active']"
"['U72900TN2019PTC129725', 'CREEPERS BUSINESS SOLUTIONS PRIVATE LIMITED', 'Chennai', 'Active']"
"['U72900TN2021PTC145281', 'ITEXTOS PRIVATE LIMITED', 'Chennai', 'Active']"
"['U72900TN2020PTC133838', 'ICONIC DREAM FOCUS PRIVATE LIMITED', 'Chennai', 'Active']"
"['U72200TN2017PTC116606', 'ILAKKU TECHNOLOGIES PRIVATE LIMITED', 'Chennai', 'Active']"
"['U72900TN2015PTC099051', 'GUIDEWIRE SOFTWARE SOLUTIONS INDIA PRIVATE LIMITED', 'Chennai', 'Active']"
"['U72900TN2016PTC111126', 'AZHOSI SOLUTIONS PRIVATE LIMITED', 'Chennai', 'Active']"
"['U72200TN2000PTC045633', 'BENED SOFTWARE PRIVATE LIMITED', 'Chennai', 'Active']"
"['U72900TN2020PTC137936', 'ONENOT5 TECHNOLOGIES PRIVATE LIMITED', 'Chennai', 'Active']"
"['U72900TN2019PTC130006', 'ACSZ TECH PRIVATE LIMITED', 'Chennai', 'Active']"
"['U72900TN2018PTC123853', 'SPANEX GLOBAL SERVICES PRIVATE LIMITED', 'Chennai', 'Active']"
"['U72900TN2017PTC117906', 'CALIBERFOCUS BUSINESS SOLUTIONS PRIVATE LIMITED', 'Chennai', 'Active']"
"['U72900TN2022PTC156789', 'MURUGAN GS E.SOLUTION PRIVATE LIMITED', 'Chennai', 'Active']"
"['U72900TN2022PTC149849', 'VERTECH CODERZ PRIVATE LIMITED', 'Chennai', 'Active']"
